Kind,ID,calories,carbohydrate,fat,protein,vitamine,vta,vtc,vte,carotene,thiamine,riboflavin,yansuan,cholesterol,mg,ca,iron,zinc,copper,mn,k,p,na,se
1,3438,242.96,0.88,20.6,13.62,0.09,46.99,0.27,0.42,5.47,0.07,0.19,3.7,84.83,14.95,6.93,2.04,1.18,0.19,0.28,179.52,108.55,159.41,10.68
1,3439,127.24,7.67,3.46,17.85,1.48,34.62,0.69,0.67,1.38,0.04,0.1,2.49,87.8,33.17,70.37,4.54,0.87,0.1,0.21,285.97,156.11,366.7,31.26
1,3440,151.65,3.56,8.88,14.62,0.21,30.5,0.37,1.88,11.13,0.04,0.07,2.21,78.01,31.46,27.84,1.4,0.83,0.1,0.13,256.45,141.39,471.51,26.14
1,3441,175.21,7.11,12.84,11.4,0.16,74.18,1.95,1.02,22.97,0.19,0.1,1.6,30.02,13.31,21.63,1.42,1.15,0.11,0.05,162.81,90.53,517.16,6.21
1,3443,35.33,7.79,0.21,2.04,1.38,0.06,33.12,0.19,0.39,0.06,0.02,0.6,0,19.39,64.01,0.86,0.39,0.09,0.16,237.93,36.19,728.59,0.99
1,3444,133.45,31.74,0.99,2.44,3.85,6,34.62,1.17,23.45,0.1,0.03,0.32,0,23.69,32.21,1.53,0.75,0.13,1.73,257.69,64.21,30.98,0.31
1,3445,35.49,3.66,1.2,2.67,0.24,6.15,3.45,1.38,36.96,0.03,0.04,0.23,4.5,76.55,95.03,3.04,0.41,0.09,0.39,140.6,28.18,604.66,8.96
1,3446,30.49,6.79,0.66,1.35,2.1,13.97,8.22,0.77,83.87,0.04,0.04,0.26,0,19.51,25.62,0.84,0.5,0.07,0.58,142.15,35.02,224.1,0.41
1,3447,143.57,8.61,11.29,11.1,0.31,2.17,1.7,2.2,7.76,0.02,0.03,0.24,5.74,15.33,36.61,1.92,0.21,0.05,0.27,59.68,104.87,484.12,0.35
1,3448,75.04,4.73,5.52,3.26,1.96,2.34,0.53,1.26,13.55,0.01,0.03,0.37,3.29,3.24,10.3,0.24,0.13,0.03,0.11,10.19,15.52,325.23,0.38
