Kind,ID,calories,carbohydrate,fat,protein,vitamine,vta,vtc,vte,carotene,thiamine,riboflavin,yansuan,cholesterol,mg,ca,iron,zinc,copper,mn,k,p,na,se
1,2582,60.83,15.6,0.16,0.65,1.42,22.92,12.25,1.15,136.96,0.03,0.03,0.34,0,13.66,8.97,0.35,0.19,0.18,0.15,117.6,15.61,1.08,0.72
1,2583,52,12.8,0.16,0.58,0.78,34.4,23.8,1.34,206,0.06,0.03,0.38,0,9.6,11.6,0.4,0.16,0.1,0.04,129,16.8,1.3,0.36
1,2586,297.35,22.06,19.65,11.19,3.18,12.83,16.81,8.6,76.99,0.33,0.07,8.08,0,88.9,22.65,1.07,1.15,0.45,0.82,339.94,155.58,2.09,1.87
1,2587,137.18,5.4,11.07,4.68,2.13,49.61,3.86,12.9,293.44,0.04,0.16,0.87,0,71.45,40.6,6.65,1.54,0.49,2.19,209.62,125.29,535.32,0.81
1,2588,328.83,4.11,30.11,10.77,0.24,15.99,2.71,0.32,11.04,0.18,0.13,2.85,62.89,16.06,9.91,1.43,1.69,0.06,0.1,186.01,133.81,418.51,9.54
1,2589,142.68,3.9,7.1,16.07,0.22,5.45,2.62,0.52,9.54,0.37,0.1,4.14,42.44,26.31,10.41,1.43,1.86,0.14,0.09,271.91,150.69,470.87,4.24
1,2590,50.43,7.54,1.86,1.52,0.57,75.68,16.44,0.61,452.45,0.03,0.03,0.57,0,10.22,13.81,0.51,0.23,0.08,0.11,174.14,34.65,647.68,0.56
1,2591,54.12,9.57,1.4,1.94,1.21,7.39,4.97,1.53,45.94,0.02,0.04,0.6,0,15.42,26.57,0.76,0.31,0.11,0.21,154.08,34,647.99,0.76
1,2592,352.74,14.47,21.43,25.5,0.47,73.12,0.64,13.43,15.54,0.18,0.1,1.59,32.14,40.75,41.8,8.63,2.63,0.65,1.26,341.64,203.43,924.17,5.25
1,2593,152.54,29.34,1.06,6.99,0.81,0,0,0.56,0,0.04,0.04,0.8,0,25.12,25.25,2.15,0.5,0.19,0.86,39,62.88,5.84,1.69
1,2594,52.8,5.28,1.33,4.61,0,35.34,0,0.28,0,0.02,0.04,0.03,0,1.53,8.52,0.3,0.17,0.02,0.01,23.28,19.66,19.88,2.17
1,2595,40.84,7.04,1.27,1.56,1.22,9.62,5.2,1.02,59.54,0.02,0.04,0.62,0,14.63,25.56,0.72,0.25,0.1,0.21,142.08,25.29,578.75,0.52
1,2596,39.87,5.88,1.36,2.13,1.14,5.15,57.55,1.39,30.91,0.03,0.08,0.58,0,17.17,22.21,1.12,0.38,0.05,0.2,192.83,45.46,477.83,0.73
1,2598,78.18,9.78,3.97,1.64,0.85,7.89,4.15,2.72,47.24,0.03,0.03,0.43,0,21.58,80.97,3.38,0.44,0.26,0.14,73.71,48.07,278.02,0.69
1,2599,376.04,71.4,4.07,13.7,0.15,0,0,1.32,0,0.13,0.06,0.87,0,0.06,2.21,0.39,0,0,0.01,0,36.48,0.02,0
1,2601,312.97,66.69,1.35,9.28,2.33,0.51,3.59,1.58,0,0.07,0.11,1.76,0,38.49,36.29,3.56,0.88,0.35,1.13,223.46,109.91,11.49,2.98
1,2636,336.67,71.07,2.27,12.47,4.53,7.33,0,4.03,43.33,0.15,0.09,1.47,0,142.33,59.67,3.77,1.5,0.47,0.52,380.33,207.67,2.2,4.69
1,2637,196.96,37.83,1.58,9.33,1.49,6.81,20.29,1.04,36.23,0.06,0.07,1.95,6.3,38.85,36.38,3.44,1.16,0.3,1.19,172.7,111.96,869.64,3.59
1,2638,81.53,15.69,0.37,7.04,3.1,38.42,12.07,0.61,229.06,0.27,0.09,1.6,0,36.73,12.64,2.67,1.18,0.32,0.47,294.05,160.84,584.25,2.14
1,2639,33.99,3.89,1.06,2.66,0.47,67.98,14.04,1.09,406.4,0.03,0.03,0.49,0,13.33,48.11,0.78,0.37,0.11,0.18,151.44,46.31,586.42,0.69
1,2640,21.57,5.2,0.1,0.69,0.78,145.1,7.84,0.35,872.55,0.03,0.04,0.39,0,7.88,16.12,0.41,0.14,0.03,0.08,142.43,23.53,771.59,0.47
1,2641,335,61.5,1,21.6,1.7,0,2,1.6,0,0.09,0.13,1.9,0,57,31,8.2,3.42,0.99,1.09,1117,418,86,1.3
1,2642,51.2,8.78,1.2,1.52,0.38,12.2,19,0.19,6,0.02,0.08,0.26,6,8.8,52.4,0.64,0.4,0.09,0.14,133.8,49,17.96,1.1
1,2643,108.37,2.73,9.26,3.84,0.37,15.52,6.65,0.45,66.5,0.07,0.06,1.01,19.7,15.05,19.54,0.78,0.64,0.05,0.06,125.82,57.64,599.2,3.24
1,2644,22.88,1.76,0.49,4.25,1.44,0,0,0,0,0,0,0,0,0.04,0.43,0.02,0,0,0.01,0.27,0,770.8,0.02
1,2645,89.11,3.63,2.84,12.28,0,19.14,0.33,0.52,0,0.04,0.11,1.68,90.76,30.71,86.69,0.97,1.42,0.06,0.05,227.53,151.49,428.69,10.1
1,2646,281.6,60.32,0.82,9.3,1.04,12.8,9.6,2.24,76,0.06,0.12,1.88,0,27.2,11.6,3.5,0.64,0.47,1.66,206.2,99.2,18.46,3.21
1,2647,346,72.4,0.9,12.7,0.6,0,0,0.7,0,0,0.08,2.6,0,12,8,5.1,0.69,0.52,1.75,49,106,21.5,4.6
1,2648,172.22,35.62,1.54,5.39,1.5,6.54,10.13,0.92,39.22,0.03,0.04,0.2,0,36.97,29.84,1.82,0.74,0.12,0.81,92.43,105.56,887.18,5.08
1,2649,31.6,7.07,0.1,1.15,0.53,0,0,1.7,0,0.02,0.14,1.22,0,23.72,44.64,1.24,0.17,0.01,0.08,227.74,21.23,732,9.01
1,2650,20.25,2.55,0.59,2.27,1.06,46.03,5.81,0.45,277.62,0.02,0.15,0.88,0,17.3,33.05,5.15,0.42,0.11,0.66,195.59,43.63,365.09,0.85
1,2651,35.23,4.8,1.31,2.89,1.76,472.23,31.01,2.37,2831.4,0.04,0.11,0.69,0,60.84,86.88,3.8,0.9,0.12,0.67,308.15,57.67,540.41,1.05
1,2652,205.33,32.93,2.1,14.43,11.23,344.67,16.67,3.73,133.33,0.05,0.35,7.93,0,150.67,214,32,2.25,0.84,12.02,597.67,116,16.23,4.75
1,2653,45.67,10.67,0.27,0.77,1.63,2,14,0.61,13.33,0.01,0.02,0.2,0,10.67,24,0.33,0.2,0.03,0.06,115.33,17.33,41.2,0.41
1,2654,48.32,5.67,1.55,5.12,2.11,11.96,7.66,0.82,71.84,0.05,0.1,0.8,0,23.3,28.71,2.61,0.6,0.19,0.47,209,81.33,775.73,1.16
1,2655,38.89,4.58,1.27,3.3,1.05,11.11,36.6,1.44,65.36,0.03,0.03,0.33,0,20.63,63.18,1.1,0.6,0.13,0.26,208.44,61.76,774.79,1.01
1,2656,19.93,4.58,0.13,0.88,0.82,32.03,19.93,0.79,192.81,0.02,0.03,0.39,0,13.44,27.23,0.48,0.24,0.05,0.09,166.61,24.51,812.83,0.47
1,2657,346.27,65.52,4.64,12.68,5.48,4.05,0,3.81,20,0.22,0.11,2.69,0,132.41,45.32,4.25,2.35,0.47,2.03,382.55,261.82,7.18,3.82
1,2658,288.08,60.77,0.83,9.88,1.13,0,0,0.54,0,0,0.06,2,0,9.23,6.15,3.92,0.53,0.4,1.35,37.69,81.54,16.54,3.54
1,2659,247.71,49.54,1.57,9.48,0.46,76.8,7.84,0.31,460.78,0.01,0.03,0.26,0,8.21,14.16,0.54,0.15,0.03,0.15,80.99,12.42,773.45,0.47
1,2660,86.96,0.49,0.49,20.16,0,13.83,0,0,0,0.04,0.13,2.67,112.65,83.03,41.76,0.51,0.85,0.01,0.01,317.36,229.25,594.89,24.52
1,2661,74.79,17.95,2.89,4.43,10.39,5.51,7.98,2.71,28.52,0.15,0.07,0.83,0,41.7,18.2,1.82,2.08,0.22,2.77,393.7,88.71,452.92,0.43
1,2662,165.83,2.48,9.78,17.09,0.17,40.02,6.03,3.46,239.84,0.02,0.03,3.52,159.17,32.49,41.6,1.74,1.11,0.18,0.07,206.27,229.05,478.76,30.38
1,2663,41.06,2.61,2.15,3.33,0.53,63.03,13.64,0.48,60.61,0.03,0.07,0.27,0,8.36,27.45,0.62,0.31,0.09,0.04,94.3,38.64,626.87,3.44
1,2664,65.12,11.92,0.97,2.44,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2665,11,1.8,0.2,1.4,0.9,63,5,0.32,380,0.01,0.19,1,0,16,38,6.9,0.38,0.1,0.79,212,32,40.9,0.81
1,2666,270.75,56.58,0.84,10.28,0.58,0,0,0.52,0,0,0.06,1.95,0,9,6,3.82,0.52,0.39,1.31,36.75,79.5,16.12,3.45
1,2667,37.93,4.31,1.23,3.57,1.45,17.73,23.65,0.74,22.17,0.04,0.06,0.67,0,18.5,19.29,0.88,0.45,0.13,0.29,153.41,59.61,587.08,0.82
1,2668,102.12,4.81,5.56,8.75,0.62,206.92,7.88,1.4,376.71,0.07,0.17,0.12,0,16.52,41.25,2.71,0.89,0.15,0.15,195.51,97.26,1696.58,8.88
1,2669,29.56,2,1.13,2.96,0.62,220.2,9.61,1.42,0,0.03,0.05,0.34,0,19.98,65.84,1.15,0.48,0.09,0.22,156.61,49.26,606.96,1.43
1,2670,20.59,3.66,0.2,1.27,0.82,37.91,32.35,0.51,179.74,0.03,0.03,0.46,0,10.82,35.73,0.54,0.21,0.05,0.15,134.59,24.51,790.22,0.7
1,2671,43.14,4.58,0.56,5.49,0.65,1.96,13.73,1.25,13.07,0.02,0.04,1.57,39.54,18.34,25.92,1.69,0.58,0.12,0.07,154.52,45.1,830.87,4.54
1,2672,42.81,3.2,1.41,4.48,1.57,230.07,30.72,1.12,0,0.03,0.09,0.59,0,86.64,176.25,4.17,0.89,0.18,0.67,176.42,77.45,794.33,1.11
1,2675,201.62,33.75,3.3,9.49,0.14,87.46,5.49,0.64,158.96,0.04,0.08,0.23,0,5.24,17.84,0.65,0.33,0.06,0.04,87.41,40.46,717.34,3.79
1,2676,244.44,53.31,0.47,7.38,0.62,4.17,2.5,0.86,25,0.14,0.04,1.79,0,38.25,19.08,2.25,0.71,0.29,0.66,118.31,99.72,1221.46,8.31
1,2677,21.23,4.89,0.21,0.85,0.81,13.68,24.11,0.05,80.37,0.02,0.05,0.5,0,33.35,69.18,0.66,0.19,0.07,0.1,123.69,25.09,805.08,0.99
1,2678,68.63,14.9,0.2,1.86,1.18,2.94,43.14,0.72,0,0.09,0.03,0.29,0,18.67,38.67,1.39,0.23,0.11,1.28,238.51,56.86,814.14,0.4
1,2679,26.85,5.22,0.27,2.17,1.53,529.31,26.85,1.39,2157.64,0.04,0.09,0.59,0,46.33,56.98,2.4,0.69,0.1,0.55,276.81,41.38,661.49,0.89
1,2681,145.26,31.48,1.58,4.03,2.98,152.57,4.15,1.69,98.81,0.1,0.07,1.3,0,48.25,21.21,1.51,0.85,0.14,0.32,240.09,110.47,495.98,1.74
1,2682,28.57,6.43,0.25,2.44,2.22,25.62,13.79,1.94,155.17,0.07,0.1,1.67,0,30.08,21.75,1.47,0.5,0.15,0.33,201.19,64.53,584.52,1.68
1,2683,54,3.4,3.2,3,0,24,1,0.21,0,0.03,0.14,0.1,15,11,104,0.3,0.42,0.02,0.03,109,73,37.2,1.94
1,2684,75.12,18.65,0.35,2.02,2.64,2.88,42.35,0.79,19.23,0.09,0.05,0.33,0,31.23,69.5,2.16,0.45,0.15,1.31,234.73,57.23,48.45,0.56
0,632,253.39,8.28,18.57,13.64,0.39,31.96,1.03,5.82,15.09,0.31,0.1,3.26,124.35,27.58,19.24,2.24,1.77,0.14,0.18,229.53,139.44,516.96,4.92
0,1185,180.72,5.16,11.34,14.38,0.23,27.64,0.34,6.26,12.26,0.05,0.09,1.54,126.68,36.82,50.38,1.51,0.74,0.07,0.14,232.42,152.15,258.47,33.01
0,1206,92.72,4.43,4.45,8.53,0.03,7.55,0.41,1.41,5.57,0.02,0.1,1.84,126.43,19.5,65.28,0.67,1.73,0.06,0.05,157.72,106.88,318.14,12.78
0,1828,298.27,3.53,26.39,11.84,0.13,165.37,2.65,1.96,14.45,0.22,0.18,1.69,569.91,27.7,48.76,3.36,2.31,0.14,0.09,149.8,165.56,343.62,14.98
