kind,id,name,fei,xin,piwei,gandan,shen,sanjiao,qi,xue,yin,yang,xing,ku,gan,suan,xian,dan,sheng,jiang,chen,fu,hezhong
1,2555,三文鱼蒸蛋,4.29,4.05,22.02,0.09,3.15,0,18.42,11.34,3.84,0,0.15,0,29.85,0,3.6,0,7.56,0.05,5.9,0.12,19.98
1,2556,木耳酸辣汤,15.7,8.88,24.67,11.9,12.15,0,28.15,17.76,20.04,7.35,12.6,0.9,40.7,4.5,12.6,2,4.96,4.25,18.65,8.25,37.19
1,2557,鸡蛋木耳炒肉,15.6,15,32,0.9,45,0,26.3,38.05,40.4,3.75,6.6,0.45,65.45,0,36,0,5.5,15.3,26.1,4.2,57.4
1,2558,双菇菠菜,4.1,15,48.6,60.3,39,0,34.7,73.75,37.5,21.05,56.8,15,76.2,10,9,0,0.3,33,52.95,46.5,34.25
1,2559,香菇炒大白菜,20.2,3.33,24.82,0.3,17.15,0,23.25,7.11,27.89,7.55,12.7,0.9,39.6,0,12.6,0,3.96,7.65,15.6,8.4,30.19
1,2560,蒜蓉金针菇,9.9,79.2,104.4,100,9,0,68.9,201.8,6,25.8,117.3,75,101.2,0,9,0,8.4,52.25,82.2,96.45,63.2
1,2561,金针菇炒鸡蛋,7.05,19.5,24.15,20.3,9,0,21.25,49,6,3.75,21.3,15,34.7,0,9,0,1.2,12.25,24.9,18.75,22.9
1,2562,草菇炖豆腐,20.1,0.18,27.72,0.3,9,0,18.85,9.81,27.59,1.05,1.8,0,42.5,0,9,4,0.36,10,14.95,1.5,30.49
1,2563,鸡肉草菇水饺,50.5,54.45,74.75,8.3,9,0,79.1,41.75,12.2,63.95,111.4,15,61.6,0,9,0,49.2,3.15,7.95,78.9,57.8
1,2564,蜇皮鸡丝汤,2.22,0.18,7.81,16.39,21,0,13,18.31,15.24,1.05,1.95,0,27.65,0,18,0,0.42,6.75,11.7,1.62,27.11
1,2565,海蜇拌莴笋,1.95,0,27.3,3.6,36.15,0,17.7,10.05,40.65,0.6,0.3,0,42.6,4.5,21.6,0,0,12.75,24.45,0.45,31.35
1,2566,海带三丝,7.25,0.45,37.9,27.9,27,0,18.65,30.7,47.85,3.3,13.3,0,51.7,18.5,17,0,1.1,32.25,50.8,9.1,7.25
1,2567,白菜海带丝,9.57,0.45,20.89,8.14,20.75,0,15.15,8.35,33,3.3,4.95,0,32.15,6.5,16.2,0,0.96,8.8,25.35,3.12,21.57
1,2568,紫菜瘦肉粥,2.1,0,25.49,0.3,24.51,0,13.78,18.43,19.14,1.05,1.8,4,24.46,0,22.14,0,4.3,6.93,15.21,1.5,24.46
1,2569,绿豆牛奶冰,24.5,4.5,58.5,0,0,0,28.25,9.75,49.5,0,0,0,82.5,0,0,5,3,10,10,0,64.5
1,2570,绿豆饭,3,0,16.5,0,0,0,9,6,4.5,0,0,2.4,16.35,0,0,0.75,2.4,1.5,1.5,0,14.1
1,2571,丝瓜烧黄豆,7.3,2.7,24.05,0.3,22.15,0,19.6,4.25,28,4.65,8.1,0.9,33.9,0.5,12.6,0.5,3,8.55,16.75,6,22.2
1,2572,豌豆烧鲜蘑,34.1,0.18,50.07,0.3,12.15,0,35.75,3.81,56.19,1.05,1.8,0,74.9,0,12.6,7.5,0.36,18,26.1,1.5,50.84
1,2573,猕猴桃虾仁沙拉,0,0,15.54,4,21.36,0,9.18,9.18,18.54,4,0,0,17.36,21,2.54,0,3,15.18,12.36,0,10.36
1,2574,蜜汁鲜果,12.25,0,24.25,0,10,0,14.6,10.3,21.6,0,0,0,21,25.5,0,0,0,14.5,16,0,16
1,2575,山楂肉丁,5.1,0,24.45,0.3,76.65,0,12.6,35.25,57.6,1.05,7.8,0,33.6,1.5,63.6,0,0.3,29.25,35.85,6,35.1
1,2576,栗子山楂羹,13.5,0.18,26.87,0,2.25,0,20.65,3.56,18.59,0,3,0,33.55,0.75,3,2.5,0.06,7.25,9.5,2.25,23.74
1,2577,绿豆西瓜粥,17.5,5,25,0,0,0,15,10,22.5,0,0,2,36.75,7.5,0,1.25,2,10,15,0,20.5
1,2580,莲藕粥,0,4.5,23.5,0,4.5,0,17,11,4.5,0,0,2,24.5,4.5,0,1.5,2,0,6,0,24.5
1,2581,红枣泥,0,0,94.5,0,0,0,54.45,37.35,2.7,0,0,0,94.5,0,0,0,0,0,0,0,94.5
1,2582,烩水果,21,5,28.5,0,0,0,12.45,12.35,29.7,0,0,0,38.5,16,0,0,0,12,19.5,0,23
1,2583,荔橘苹果,6.5,0,8.5,0,0,0,6,4,5,0,0,0,8.5,6.5,0,0,0,3.5,4,0,7.5
1,2586,柿饼花生汤,17,6,19.5,2,0,0,10.45,11.35,20.7,2,2,0,33.5,9,0,0,2,9,15,3,15.5
1,2587,核桃仁拌芹菜,21.5,35,41.35,0,42.15,0,63,36.8,29.6,10.6,0.3,0,77.1,0,12.6,50,7.5,42.25,30.35,7.95,51.95
1,2588,葱爆肉,12.4,1.08,30.07,5.6,72.15,0,15.55,39.66,54.69,11.4,30.4,0.45,32.85,0,57.6,0,6.26,24.75,32.85,21.1,36.34
1,2589,京酱肉丝,11.5,0.63,33.31,5.6,75.66,0,15.28,41.19,61.53,8.7,25.9,0.45,38.61,0,61.74,0,5.36,24.93,36.36,18.85,41.2
1,2590,蒜味番茄,13.5,3.75,32.1,6,12.15,0,21,7.8,15.6,23.1,37.8,0,8.1,9,12.6,0,7.5,5.25,16.35,19.2,19.2
1,2591,大蒜烧茄子,20.5,4.38,47.32,0.3,15.3,0,29.9,9.66,21.99,26.25,43.8,0,27.8,0,16.2,0,8.76,8.25,19.5,22.5,28.79
1,2592,蒜泥三丝,22.97,0.45,48.89,3.69,27.3,0,32.55,8.05,59.4,3.3,4.95,0,60.65,4.5,28.2,5,0.96,18.25,33.1,2.82,48.17
1,2593,奶香燕麦米饭,7.5,7.5,40,0,0,0,26,17,12,0,2,4,49,0,0,0,12,0,0,0,43
1,2594,烤布丁,11.55,11.55,19.9,0,0,0,17.2,13.1,12.7,0,0,0,43,0,0,0,5,0,2.7,0,35.3
1,2595,糖醋茄条,16.07,0.63,24.11,3.99,15.3,0,19.3,12.06,24.99,3.75,6.45,0,32.95,4.5,16.2,0,1.32,9.75,24.6,3.87,20.56
1,2596,糖醋菜花,1.05,0,36.3,4.05,32.6,0,31,4.35,38.65,0,0,0,56.9,4.5,12.6,0,10,2.1,13.95,0.3,47.65
1,2598,麻酱粉皮,14.5,0,25.35,3.75,23.9,0,24,10.3,32.6,0.6,0.3,0,54.6,0,12.6,0,0,11.75,17.35,2.95,35.45
1,2599,银丝卷,1.5,9,6,0,0,0,7.8,3,5.1,0.6,0.3,0,16.2,0,0,0,3,0.45,0,0.45,12.6
1,2601,薏米莲子大枣粥,0,0.75,17.5,0,0.75,0,8.3,7.25,3.45,0,0,1.2,16.8,0.75,0,0.25,1.2,0,1,0,16.8
1,2636,玉米碴绿豆粥,5,0,17.5,0,0,0,11,2,9.5,0,2,0,19.25,0,0,1.25,3,2.5,2.5,0,14.5
1,2637,苦瓜肉末粥,0,5,21.5,2,9,0,12.35,11.95,13.2,0,0.8,12,15.7,0,9,0,5.45,7.8,11.2,0,13.05
1,2638,炝拌蚕豆香菇,32,0,48,0,9,0,33.8,3.3,51.9,0,0,0,72.5,0,9,7.5,0,17.55,22.95,0,48.5
1,2639,番茄豆腐,8.5,0,10.5,6,9,0,7.8,7.8,18.4,0,0,0,14,9,9,2,0,6.8,15.2,0,12
1,2640,清炒南瓜丝,6,0,9,0,9,0,7.8,6.3,9.9,0,0,0,9,6,9,0,0,4.8,10.2,0,9
