[0.95537825059101655, 160, 0.10806451612903226, 5, 4]
[0.95567375886524819, 70, 0.1938709677419355, 8, 3]
[0.95567375886524819, 90, 0.14483870967741938, 4, 6]
[0.95567375886524819, 120, 0.1570967741935484, 7, 2]
[0.95567375886524819, 120, 0.16935483870967744, 4, 3]
[0.95567375886524819, 120, 0.1938709677419355, 9, 2]
[0.95567375886524819, 140, 0.1938709677419355, 4, 7]
[0.95567375886524819, 150, 0.1570967741935484, 7, 2]
[0.95567375886524819, 160, 0.11419354838709678, 9, 6]
[0.9556737588652483, 110, 0.16322580645161291, 10, 3]
[0.9556737588652483, 110, 0.18774193548387097, 9, 2]
[0.9556737588652483, 130, 0.13258064516129034, 8, 3]
[0.95596926713947983, 100, 0.1938709677419355, 10, 3]
[0.95596926713947983, 130, 0.10806451612903226, 8, 3]
[0.95596926713947983, 160, 0.11419354838709678, 5, 6]
[0.95596926713947994, 70, 0.18161290322580648, 8, 8]
[0.95596926713947994, 110, 0.15096774193548387, 7, 3]
[0.95596926713947994, 110, 0.18774193548387097, 9, 5]
[0.95596926713947994, 140, 0.16322580645161291, 4, 6]
[0.95596926713947994, 150, 0.16322580645161291, 4, 8]
[0.95596926713947994, 160, 0.1938709677419355, 8, 2]
[0.95596926713948005, 150, 0.13870967741935486, 9, 4]
[0.95626477541371158, 90, 0.2, 3, 4]
[0.95626477541371158, 100, 0.1570967741935484, 10, 5]
[0.95626477541371158, 110, 0.18161290322580648, 4, 4]
[0.95626477541371158, 110, 0.18774193548387097, 6, 3]
[0.95626477541371158, 120, 0.13870967741935486, 6, 5]
[0.95626477541371158, 150, 0.14483870967741938, 8, 1]
[0.95626477541371158, 150, 0.14483870967741938, 10, 5]
[0.95626477541371158, 160, 0.11419354838709678, 7, 5]
[0.95626477541371158, 160, 0.16935483870967744, 5, 2]
[0.95626477541371169, 140, 0.13258064516129034, 6, 6]
[0.95656028368794321, 90, 0.17548387096774196, 8, 3]
[0.95656028368794321, 100, 0.16322580645161291, 8, 6]
[0.95656028368794321, 100, 0.2, 6, 3]
[0.95656028368794321, 120, 0.14483870967741938, 6, 5]
[0.95656028368794321, 130, 0.1570967741935484, 9, 2]
[0.95656028368794321, 150, 0.12032258064516128, 7, 4]
