Kind,ID,calories,carbohydrate,fat,protein,vitamine,vta,vtc,vte,carotene,thiamine,riboflavin,yansuan,cholesterol,mg,ca,iron,zinc,copper,mn,k,p,na,se
1,2388,19.1,3.65,0.12,1.55,0.8,19.02,29.03,0.72,114.12,0.04,0.05,0.63,0,11.62,48.09,0.9,0.42,0.05,0.29,20.83,34.12,244.79,0.59
1,2390,272.36,57.23,0.76,10.3,1.12,0.16,0.46,0.55,0.93,0,0.08,2.41,0,11.76,7.38,4.04,0.67,0.43,1.41,44.31,93.03,626.49,4.09
1,2391,95.32,18.32,1.73,3.58,1.95,42.89,9.6,1.27,108.71,0.05,0.11,1.16,0,20.28,23.42,0.88,0.58,0.17,0.51,152.06,62.37,356.42,3.03
1,2392,46.62,6.85,2.22,1.73,1.9,8.54,4.46,0.84,51.23,0.09,0.12,2.4,0,16.17,14.26,1.15,0.32,0.11,0.16,154.84,65.36,301.76,0.37
1,2393,86.79,6,6.26,3.99,2.28,6.13,1.29,0.79,19.35,0.13,0.15,3.24,12.9,16.12,2.36,1.34,0.61,0.1,0.09,164.33,92.16,485.68,2.15
1,2394,144.61,2.16,8.03,16.65,0.73,40.81,0.69,0.64,1.22,0.04,0.08,4.78,89.68,17.49,13.79,1.62,0.99,0.07,0.05,215.76,137.66,277.1,10.13
1,2395,141.57,3.31,10.49,10.32,1.93,6.21,1.86,0.25,0.61,0.41,0.1,2.92,84.01,12.52,12.77,1.63,1.09,0.09,0.06,147.6,83.59,369.52,5.94
1,2396,304.26,66.69,0.82,10.47,2.94,7.19,36,1.47,42.96,0.02,0.11,2.24,0,23.93,28.33,11.22,0.98,0.42,2,147.96,103.56,19.8,3.8
1,2397,92.46,10.01,3.43,8.35,2.99,1.49,0,3.37,8.77,0.05,0.06,0.39,0,37.05,165.91,10.23,1.26,0.27,1.19,176.3,130,700.24,2.36
1,2400,282.3,35.44,9.77,13.52,0.35,24.98,0.2,0.46,2.74,0.04,0.14,3.24,44.34,14.08,7.36,3.56,0.97,0.35,0.9,118.93,109.76,413.78,8.04
1,2401,170.6,6.91,11.61,10.07,0.42,34.3,6.05,0.35,28.02,0.07,0.14,2.67,53.76,18.33,13.6,1.64,0.93,0.17,0.19,157.8,91.94,168.97,7.34
1,2402,113.58,3.33,4.97,14.08,0.31,16.67,8.61,0.42,33.33,0.06,0.11,7.72,56.94,23.08,17.83,0.81,0.54,0.07,0.05,237.47,159.72,104.86,7.47
1,2403,178.5,9.52,10.67,11.52,1.59,26.49,1.09,1.2,17.58,0.08,0.12,4.45,85.99,39.64,19.21,1.82,1,0.13,0.44,212.86,137.84,532.21,7.13
1,2404,103.82,4.3,4.04,12.58,0.05,2.73,0.27,0.26,2.5,0.05,0.12,2.87,127.17,10.07,9.56,1.89,1.5,0.08,0.13,139.04,97.3,361.23,9.88
1,2405,150.41,16.48,3.65,13.05,0.22,2.52,0.53,0.38,3.18,0.05,0.13,3.06,111.49,12.89,11.16,2.71,1.47,0.2,0.47,149.24,108.89,588.32,9.63
1,2406,59.73,3.06,2.59,6.93,0.84,222.83,15.39,0.9,1336.07,0.03,0.07,0.43,23.29,29.65,33.49,5.34,0.54,0.1,0.33,174.28,30.5,423.7,4.11
1,2407,70.65,4.01,1.99,9.7,0.52,0.81,0.33,1.39,4.91,0.03,0.04,0.28,23.91,17.08,85.93,5.11,0.68,0.19,0.32,93.8,65.07,398.96,4.85
1,2408,97.68,0.42,3.34,16.49,0.09,26.04,1.84,1.16,45.86,0.03,0.07,2.4,91.16,23.22,53.14,1.43,1.1,0.07,0.15,270.59,177.22,272.2,14.47
1,2409,109.27,6.31,2.89,14.66,0.24,16.42,0.33,1.33,3.64,0.03,0.06,2.51,78.32,24.94,46.78,1.51,1.04,0.08,0.22,316.13,165.69,268.52,12.54
1,2410,63.45,5.58,1.22,7.81,0.67,194.28,10.45,0.54,7.17,0.03,0.06,1.19,54.32,23.98,52.43,0.84,0.94,0.06,0.1,226.24,92.78,205.81,6.94
1,2411,281.33,58.53,0.71,11.85,1.62,4,0,2.75,23.64,0.05,0.1,2.18,0,34.61,28.12,4.44,0.85,0.51,1.28,217.58,129.61,15.24,5.31
1,2412,326.6,11.69,26.91,9.58,0.09,12,0,0.54,0,0.15,0.14,2.68,53.33,15.62,15.27,1.7,1.42,0.05,0.05,178.24,114.49,1005.98,9.68
1,2413,98.7,11.3,2.31,8.74,0.62,9.09,2.2,1.02,13.7,0.06,0.07,4.86,35.65,15.57,5.33,0.75,0.33,0.06,0.1,208.77,100.72,529.11,4.69
1,2414,52,13.5,0.2,0.2,1.2,3,4,2.12,20,0.06,0.02,0.2,0,4,4,0.6,0.19,0.06,0.03,119,12,1.6,0.12
1,2415,91.62,17.3,1.31,3.2,1.3,55.9,5.58,0.57,32.88,0.02,0.1,0.79,6.16,36.55,65.68,0.98,0.49,0.16,1.7,270.18,58.12,17.95,1.31
1,2416,211.13,46.12,0.51,6.39,0.91,5.33,4.27,0.44,32,0.01,0.06,1.53,0,28.31,7.8,2.51,0.41,0.31,1.12,158.33,62.04,10.04,2.51
1,2417,29.29,6.77,0.41,0.6,0.94,103.57,37,0.54,621.43,0.02,0.02,0.39,0,17,41,0.37,0.36,0.06,0.05,72.57,14.86,20.31,1.43
1,2418,37.55,8.67,0.36,0.7,0.76,120.42,35.55,0.28,707.42,0.01,0.03,0.33,1.45,12.58,25.81,0.24,0.27,0.04,0.11,53.81,20.61,26.51,1.7
1,2419,384.33,95.35,0.32,0.07,0,0,0.5,0,0,0.02,0.03,0.02,0,2,19.83,1.33,0.24,0.03,0.01,5.5,0.5,2.3,0.02
1,2420,30,7.1,0.2,1,1.1,5,47,0.71,30,0.02,0.03,0.3,0,12,18,1.8,0.14,0.04,0.49,131,27,4.2,0.7
1,2421,49.92,12.04,0.2,0.49,0.39,7.84,24.51,0.69,49.02,0.04,0.02,0.2,0,7.88,5.02,0.4,0.18,0.09,0.06,102,12.8,1.31,0.2
